"id","name","rating","current_price","original_price","discount","ram","rom","features1","features2"
15,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,199","₹1,599","25%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
16,"vivo T3x 5G (Crimson Bliss, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
17,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹16,499","₹20,499","19%","8 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
18,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,244","₹1,599","22%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
19,"vivo T3x 5G (Celestial Green, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
20,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹13,499","₹17,499","22%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
21,"realme 12x 5G (Twilight Purple, 128 GB)","4.3","₹14,999","₹18,999","21%","8 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
22,"POCO C65 (Pastel Green, 128 GB)","4.2","₹7,499","₹11,999","37%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
23,"realme 12x 5G (Twilight Purple, 128 GB)","4.4","₹12,999","₹17,999","27%","6 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
24,"realme P1 5G (Peacock Green, 128 GB)","4.4","₹15,999","₹20,999","23%","6 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
25,"Motorola G34 5G (Ocean Green, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories",NULL
26,"Motorola G34 5G (Charcoal Black, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories",NULL
27,"Motorola G34 5G (Ice Blue, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories",NULL
28,"POCO M6 Pro 5G (Power Black, 128 GB)","4.3","₹9,999","₹16,999","41%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
29,"POCO C65 (Matte Black, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
30,"POCO C65 (Pastel Blue, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
31,"Motorola g04s (Satin Blue, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
32,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","4.4","₹18,995","₹21,999","13%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
33,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","4.4","₹19,945","₹21,999","9%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
34,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","4.4","₹16,932","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
35,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","4.4","₹16,919","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
36,"POCO C65 (Pastel Green, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
37,"Motorola g04s (Concord Black, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
38,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,287","₹1,599","19%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E ProcessorNO WARRANTY",NULL
39,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,199","₹1,599","25%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
40,"vivo T3x 5G (Crimson Bliss, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
41,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹16,499","₹20,499","19%","8 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
42,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,244","₹1,599","22%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
43,"vivo T3x 5G (Celestial Green, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
44,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹13,499","₹17,499","22%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
45,"realme 12x 5G (Twilight Purple, 128 GB)","4.3","₹14,999","₹18,999","21%","8 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
46,"POCO C65 (Pastel Green, 128 GB)","4.2","₹7,499","₹11,999","37%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
47,"realme 12x 5G (Twilight Purple, 128 GB)","4.4","₹12,999","₹17,999","27%","6 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
48,"realme P1 5G (Peacock Green, 128 GB)","4.4","₹15,999","₹20,999","23%","6 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
49,"Motorola G34 5G (Ocean Green, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories",NULL
50,"Motorola G34 5G (Charcoal Black, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories",NULL
51,"Motorola G34 5G (Ice Blue, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories",NULL
52,"POCO M6 Pro 5G (Power Black, 128 GB)","4.3","₹9,999","₹16,999","41%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
53,"POCO C65 (Matte Black, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
54,"POCO C65 (Pastel Blue, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
55,"Motorola g04s (Satin Blue, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
56,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","4.4","₹18,995","₹21,999","13%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
57,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","4.4","₹19,945","₹21,999","9%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
58,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","4.4","₹16,932","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
59,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","4.4","₹16,919","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
60,"POCO C65 (Pastel Green, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
61,"Motorola g04s (Concord Black, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
62,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,287","₹1,599","19%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E ProcessorNO WARRANTY",NULL
63,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,199","₹1,599","25%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
64,"vivo T3x 5G (Crimson Bliss, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
65,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹16,499","₹20,499","19%","8 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
66,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,244","₹1,599","22%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
67,"vivo T3x 5G (Celestial Green, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
68,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹13,499","₹17,499","22%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
69,"realme 12x 5G (Twilight Purple, 128 GB)","4.3","₹14,999","₹18,999","21%","8 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
70,"POCO C65 (Pastel Green, 128 GB)","4.2","₹7,499","₹11,999","37%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
71,"realme 12x 5G (Twilight Purple, 128 GB)","4.4","₹12,999","₹17,999","27%","6 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
72,"realme P1 5G (Peacock Green, 128 GB)","4.4","₹15,999","₹20,999","23%","6 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
73,"Motorola G34 5G (Ocean Green, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories",NULL
74,"Motorola G34 5G (Charcoal Black, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories",NULL
75,"Motorola G34 5G (Ice Blue, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories",NULL
76,"POCO M6 Pro 5G (Power Black, 128 GB)","4.3","₹9,999","₹16,999","41%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
77,"POCO C65 (Matte Black, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
78,"POCO C65 (Pastel Blue, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
79,"Motorola g04s (Satin Blue, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
80,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","4.4","₹18,995","₹21,999","13%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
81,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","4.4","₹19,945","₹21,999","9%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
82,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","4.4","₹16,932","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
83,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","4.4","₹16,919","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
